time,x-acceleration,y-acceleration,z-acceleration
0.000,0.105,0.006,-0.987
0.020,0.112,0.010,-0.999
0.040,0.114,0.009,-0.996
0.060,0.111,0.011,-0.982
0.080,0.111,0.013,-0.984
0.100,0.114,0.012,-0.994
0.120,0.108,0.005,-0.990
0.140,0.096,-0.004,-0.981
0.160,0.090,-0.010,-0.981
0.180,0.096,-0.000,-0.989
0.200,0.104,0.008,-0.999
0.220,0.107,0.012,-1.003
0.240,0.106,0.009,-0.992
0.260,0.104,0.008,-0.980
0.280,0.111,0.010,-0.982
0.300,0.115,0.012,-0.983
0.320,0.109,0.014,-0.984
0.340,0.106,0.002,-0.996
0.360,0.102,-0.006,-0.991
0.380,0.098,-0.005,-0.977
0.400,0.101,-0.002,-0.979
0.420,0.108,0.011,-0.992
0.440,0.111,0.014,-0.997
0.460,0.104,0.001,-0.995
0.480,0.103,-0.007,-0.991
0.500,0.105,-0.001,-0.983
0.520,0.106,0.004,-0.983
0.540,0.109,0.010,-0.987
0.560,0.110,0.006,-0.991
0.580,0.106,0.000,-0.985
0.600,0.106,0.003,-0.986
0.620,0.105,0.010,-0.995
0.640,0.102,0.010,-0.995
0.660,0.097,-0.001,-0.992
0.680,0.095,-0.004,-0.987
0.700,0.096,-0.002,-0.983
0.720,0.102,0.009,-0.992
0.740,0.104,0.011,-0.999
0.760,0.099,0.005,-0.995
0.780,0.099,-0.004,-0.988
0.800,0.103,-0.002,-0.982
0.820,0.105,0.006,-0.982
0.840,0.113,0.014,-0.986
0.860,0.116,0.013,-0.996
0.880,0.104,0.002,-0.990
0.900,0.094,-0.007,-0.979
0.920,0.098,0.006,-0.986
0.940,0.112,0.013,-0.998
0.960,0.113,0.011,-1.000
0.980,0.104,0.000,-0.990
1.000,0.094,-0.004,-0.982
1.020,0.094,-0.000,-0.982
1.040,0.102,0.007,-0.990
1.060,0.104,0.011,-0.989
1.080,0.104,0.010,-0.987
1.100,0.105,0.008,-0.993
1.120,0.103,0.006,-0.989
1.140,0.100,0.005,-0.985
1.160,0.097,0.005,-0.988
1.180,0.100,0.010,-0.992
1.200,0.103,0.008,-0.994
1.220,0.100,0.004,-0.992
1.240,0.098,0.001,-0.989
1.260,0.101,0.002,-0.989
1.280,0.103,0.003,-0.985
1.300,0.101,0.004,-0.983
1.320,0.102,0.003,-0.992
1.340,0.100,0.009,-0.994
1.360,0.103,0.014,-0.990
1.380,0.105,0.016,-0.987
1.400,0.104,0.013,-0.987
1.420,0.099,0.003,-0.987
1.440,0.095,0.003,-0.986
1.460,0.098,0.009,-0.986
1.480,0.101,0.018,-0.999
1.500,0.096,0.018,-1.003
1.520,0.087,0.008,-1.000
1.540,0.083,0.002,-0.991
1.560,0.086,0.000,-0.992
1.580,0.092,0.007,-0.992
1.600,0.094,0.011,-0.996
1.620,0.100,0.011,-0.994
1.640,0.099,0.010,-0.981
1.660,0.095,0.006,-0.971
1.680,0.098,0.006,-0.982
1.700,0.108,0.009,-1.001
1.720,0.108,0.008,-1.003
1.740,0.102,0.005,-0.993
1.760,0.102,-0.004,-0.987
1.780,0.098,-0.006,-0.974
1.800,0.091,-0.000,-0.967
1.820,0.093,0.003,-0.989
1.840,0.103,0.003,-1.005
1.860,0.103,0.001,-0.999
1.880,0.091,0.002,-0.986
1.900,0.091,0.004,-0.994
1.920,0.104,0.009,-1.002
1.940,0.105,0.011,-0.988
1.960,0.100,-0.000,-0.977
1.980,0.107,-0.000,-0.992
2.000,0.114,0.014,-0.999
2.020,0.101,0.015,-0.988
2.040,0.097,0.016,-0.990
2.060,0.085,0.005,-0.988
2.080,0.067,-0.021,-0.986
2.100,0.063,-0.028,-0.987
2.120,0.070,-0.019,-0.993
2.140,0.084,-0.008,-0.995
2.160,0.099,0.001,-0.990
2.180,0.110,0.005,-0.984
2.200,0.118,0.011,-0.987
2.220,0.128,0.020,-0.990
2.240,0.130,0.026,-0.990
2.260,0.125,0.027,-0.990
2.280,0.117,0.019,-0.995
2.300,0.104,0.010,-0.994
2.320,0.091,0.002,-0.988
2.340,0.087,-0.006,-0.990
2.360,0.089,-0.010,-0.997
2.380,0.087,-0.014,-0.994
2.400,0.091,-0.014,-0.983
2.420,0.099,-0.008,-0.983
2.440,0.114,0.003,-0.986
2.460,0.119,0.009,-0.981
2.480,0.119,0.013,-0.982
2.500,0.119,0.017,-0.993
2.520,0.116,0.013,-0.997
2.540,0.108,0.006,-0.986
2.560,0.099,-0.000,-0.974
2.580,0.092,-0.005,-0.977
2.600,0.095,-0.004,-0.999
2.620,0.105,-0.001,-1.011
2.640,0.104,-0.004,-0.991
2.660,0.104,-0.008,-0.968
2.680,0.115,0.003,-0.968
2.700,0.126,0.010,-0.985
2.720,0.124,0.009,-0.997
2.740,0.115,0.005,-0.995
2.760,0.111,-0.003,-0.987
2.780,0.113,-0.005,-0.985
2.800,0.120,0.002,-0.980
2.820,0.119,0.005,-0.976
2.840,0.111,0.008,-0.981
2.860,0.102,0.005,-0.993
2.880,0.095,0.005,-1.004
2.900,0.092,0.009,-1.002
2.920,0.087,0.002,-0.991
2.940,0.078,-0.005,-0.982
2.960,0.077,-0.010,-0.986
2.980,0.082,-0.001,-0.996
3.000,0.087,0.004,-1.000
3.020,0.092,0.005,-0.998
3.040,0.095,0.008,-0.993
3.060,0.098,0.011,-0.988
3.080,0.103,0.009,-0.993
3.100,0.101,0.011,-0.991
3.120,0.100,0.008,-0.990
3.140,0.094,0.001,-0.990
3.160,0.091,-0.005,-0.990
3.180,0.097,-0.006,-0.985
3.200,0.105,-0.001,-0.987
3.220,0.108,-0.004,-0.989
3.240,0.105,0.000,-0.983
3.260,0.110,0.010,-0.982
3.280,0.111,0.013,-0.979
3.300,0.106,0.009,-0.982
3.320,0.105,0.006,-0.994
3.340,0.099,0.009,-0.999
3.360,0.095,0.012,-0.999
3.380,0.085,0.002,-0.993
3.400,0.073,-0.011,-0.990
3.420,0.077,-0.013,-0.992
3.440,0.086,-0.003,-0.993
3.460,0.092,-0.002,-0.991
3.480,0.097,0.003,-0.991
3.500,0.109,0.016,-0.997
3.520,0.120,0.024,-1.001
3.540,0.115,0.012,-0.982
3.560,0.100,-0.006,-0.969
3.580,0.098,-0.008,-0.976
3.600,0.103,-0.004,-0.986
3.620,0.101,0.000,-0.992
3.640,0.099,0.005,-0.994
3.660,0.098,0.004,-0.988
3.680,0.096,0.002,-0.980
3.700,0.100,0.006,-0.979
3.720,0.110,0.008,-0.991
3.740,0.114,0.008,-0.999
3.760,0.112,0.013,-0.991
3.780,0.107,0.016,-0.986
3.800,0.106,0.006,-0.997
3.820,0.100,0.002,-0.995
3.840,0.091,-0.000,-0.982
3.860,0.087,-0.001,-0.979
3.880,0.091,0.005,-0.993
3.900,0.097,0.006,-1.005
3.920,0.098,0.005,-0.998
3.940,0.094,0.003,-0.990
3.960,0.091,0.002,-0.988
3.980,0.094,0.005,-0.988
4.000,0.101,0.012,-0.985
4.020,0.103,0.013,-0.978
4.040,0.108,0.013,-0.987
4.060,0.106,0.008,-0.996
4.080,0.097,0.001,-0.992
4.100,0.095,0.001,-0.987
4.120,0.094,-0.000,-0.986
4.140,0.095,-0.001,-0.984
4.160,0.098,-0.003,-0.986
4.180,0.100,-0.001,-0.981
4.200,0.102,0.005,-0.992
4.220,0.102,0.010,-0.992
4.240,0.097,0.012,-0.986
4.260,0.096,0.009,-0.991
4.280,0.096,0.007,-0.993
4.300,0.096,0.011,-0.995
