time,adc
0.000,208.000
0.033,203.000
0.066,207.000
0.099,206.000
0.132,207.000
0.165,208.000
0.198,207.000
0.231,207.000
0.264,203.000
0.297,208.000
0.330,204.000
0.363,205.000
0.396,208.000
0.429,205.000
0.462,207.000
0.495,207.000
0.528,206.000
0.561,206.000
0.594,207.000
0.627,205.000
0.660,205.000
0.693,207.000
0.726,205.000
0.759,205.000
0.792,205.000
0.825,204.000
0.858,206.000
0.891,209.000
0.924,206.000
0.957,202.000
0.990,204.000
1.023,205.000
1.056,208.000
1.089,207.000
1.122,207.000
1.155,210.000
1.188,209.000
1.221,208.000
1.254,205.000
1.287,208.000
1.320,207.000
1.353,205.000
1.386,208.000
1.419,207.000
1.452,209.000
1.485,209.000
1.518,208.000
1.551,205.000
1.584,208.000
1.617,206.000
1.650,205.000
1.683,205.000
1.716,208.000
1.749,210.000
1.782,208.000
1.815,208.000
1.848,208.000
1.881,210.000
1.914,204.000
1.947,208.000
1.980,208.000
2.013,210.000
2.046,205.000
2.079,204.000
2.112,206.000
2.145,207.000
2.178,208.000
2.211,206.000
2.244,205.000
2.277,208.000
2.310,206.000
2.343,207.000
2.376,206.000
2.409,207.000
2.442,209.000
2.475,206.000
2.508,207.000
2.541,154.000
2.574,141.000
2.607,136.000
2.640,144.000
2.673,146.000
2.706,177.000
2.739,218.000
2.772,245.000
2.805,254.000
2.838,284.000
2.871,279.000
2.904,284.000
2.937,323.000
2.970,332.000
3.003,336.000
3.036,325.000
3.069,319.000
3.102,316.000
3.135,325.000
3.168,316.000
3.201,306.000
3.234,309.000
3.267,314.000
3.300,320.000
3.333,316.000
3.366,321.000
3.399,310.000
3.432,301.000
3.465,287.000
3.498,275.000
3.531,286.000
3.564,297.000
3.597,319.000
3.630,321.000
3.663,287.000
3.696,299.000
3.729,292.000
3.762,296.000
3.795,303.000
3.828,304.000
3.861,308.000
3.894,301.000
3.927,291.000
3.960,287.000
3.993,284.000
4.026,280.000
4.059,287.000
4.092,310.000
4.125,308.000
4.158,310.000
4.191,312.000
4.224,295.000
4.257,271.000
4.290,252.000
4.323,242.000
4.356,228.000
4.389,238.000
4.422,249.000
4.455,235.000
4.488,223.000
4.521,195.000
4.554,209.000
4.587,185.000
4.620,182.000
4.653,155.000
4.686,155.000
4.719,161.000
4.752,164.000
4.785,171.000
4.818,172.000
4.851,184.000
4.884,180.000
4.917,184.000
4.950,173.000
4.983,181.000
5.016,184.000
5.049,176.000
5.082,190.000
5.115,194.000
5.148,205.000
5.181,218.000
5.214,213.000
5.247,211.000
5.280,222.000
5.313,217.000
5.346,171.000
5.379,187.000
5.412,222.000
5.445,270.000
5.478,286.000
5.511,1023.000
5.544,369.000
5.577,447.000
5.610,467.000
5.643,465.000
5.676,452.000
5.709,446.000
5.742,442.000
5.775,429.000
5.808,435.000
5.841,430.000
5.874,374.000
5.907,385.000
5.940,426.000
5.973,427.000
6.006,440.000
6.039,443.000
6.072,478.000
6.105,514.000
6.138,528.000
6.171,533.000
6.204,529.000
6.237,511.000
6.270,506.000
6.303,509.000
6.336,500.000
6.369,512.000
6.402,515.000
6.435,518.000
6.468,516.000
6.501,494.000
6.534,490.000
6.567,446.000
6.600,407.000
6.633,412.000
6.666,425.000
6.699,417.000
6.732,410.000
6.765,425.000
6.798,423.000
6.831,395.000
6.864,353.000
6.897,360.000
6.930,400.000
6.963,407.000
6.996,419.000
7.029,448.000
7.062,495.000
7.095,502.000
7.128,503.000
7.161,550.000
7.194,620.000
7.227,654.000
7.260,717.000
7.293,762.000
7.326,793.000
7.359,823.000
7.392,846.000
7.425,867.000
7.458,883.000
7.491,900.000
7.524,899.000
7.557,908.000
7.590,915.000
7.623,920.000
7.656,923.000
7.689,927.000
7.722,929.000
7.755,933.000
7.788,932.000
7.821,938.000
7.854,940.000
7.887,941.000
7.920,945.000
7.953,944.000
7.986,950.000
8.019,943.000
8.052,947.000
8.085,952.000
8.118,951.000
8.151,949.000
8.184,944.000
8.217,935.000
8.250,916.000
8.283,878.000
8.316,819.000
8.349,756.000
8.382,650.000
8.415,545.000
8.448,542.000
8.481,543.000
8.514,516.000
8.547,486.000
8.580,461.000
8.613,438.000
8.646,440.000
8.679,444.000
8.712,434.000
8.745,461.000
8.778,447.000
8.811,491.000
8.844,519.000
8.877,517.000
8.910,532.000
8.943,537.000
8.976,547.000
9.009,555.000
9.042,597.000
9.075,610.000
9.108,621.000
9.141,626.000
9.174,629.000
9.207,634.000
9.240,640.000
9.273,643.000
9.306,641.000
9.339,645.000
9.372,648.000
9.405,643.000
9.438,626.000
9.471,620.000
9.504,599.000
9.537,621.000
9.570,622.000
9.603,605.000
9.636,611.000
9.669,615.000
9.702,635.000
9.735,617.000
9.768,619.000
9.801,619.000
9.834,635.000
9.867,635.000
9.900,639.000
9.933,641.000
9.966,640.000
9.999,642.000
10.032,648.000
10.065,635.000
10.098,637.000
10.131,636.000
10.164,643.000
10.197,637.000
10.230,643.000
10.263,649.000
10.296,652.000
10.329,653.000
10.362,653.000
10.395,657.000
10.428,664.000
10.461,673.000
10.494,694.000
10.527,698.000
10.560,718.000
10.593,740.000
10.626,771.000
10.659,794.000
10.692,814.000
10.725,836.000
10.758,852.000
10.791,869.000
10.824,881.000
10.857,889.000
10.890,897.000
10.923,901.000
10.956,914.000
10.989,920.000
11.022,919.000
11.055,924.000
11.088,927.000
11.121,928.000
11.154,935.000
11.187,932.000
11.220,937.000
11.253,934.000
11.286,942.000
11.319,938.000
11.352,938.000
11.385,942.000
11.418,940.000
11.451,942.000
11.484,947.000
11.517,945.000
11.550,945.000
11.583,944.000
11.616,946.000
11.649,944.000
11.682,947.000
11.715,943.000
11.748,940.000
11.781,919.000
11.814,900.000
11.847,870.000
11.880,808.000
11.913,738.000
11.946,739.000
11.979,700.000
12.012,653.000
12.045,649.000
12.078,650.000
12.111,648.000
12.144,644.000
12.177,626.000
12.210,620.000
12.243,616.000
12.276,615.000
12.309,609.000
12.342,596.000
12.375,617.000
12.408,617.000
12.441,607.000
12.474,613.000
12.507,611.000
12.540,587.000
12.573,569.000
12.606,579.000
12.639,546.000
12.672,540.000
12.705,546.000
12.738,546.000
12.771,563.000
12.804,578.000
12.837,578.000
12.870,581.000
12.903,586.000
12.936,589.000
12.969,601.000
13.002,608.000
13.035,603.000
13.068,593.000
13.101,572.000
13.134,560.000
13.167,554.000
13.200,556.000
13.233,578.000
13.266,595.000
13.299,587.000
13.332,598.000
13.365,606.000
13.398,601.000
13.431,615.000
13.464,636.000
13.497,617.000
13.530,612.000
13.563,616.000
13.596,617.000
13.629,617.000
13.662,612.000
13.695,619.000
13.728,623.000
13.761,593.000
13.794,600.000
13.827,591.000
13.860,592.000
13.893,613.000
13.926,614.000
13.959,616.000
13.992,606.000
14.025,607.000
14.058,637.000
14.091,640.000
14.124,651.000
14.157,667.000
14.190,668.000
14.223,669.000
14.256,681.000
14.289,685.000
14.322,687.000
14.355,692.000
14.388,690.000
14.421,691.000
14.454,693.000
14.487,695.000
14.520,699.000
14.553,678.000
14.586,674.000
14.619,670.000
14.652,644.000
14.685,631.000
14.718,581.000
14.751,514.000
14.784,445.000
14.817,384.000
14.850,243.000
14.883,193.000
14.916,128.000
14.949,79.000
14.982,4.000
15.015,24.000
15.048,94.000
15.081,163.000
15.114,193.000
15.147,205.000
15.180,203.000
15.213,205.000
15.246,207.000
15.279,202.000
15.312,200.000
15.345,202.000
15.378,202.000
15.411,205.000
15.444,198.000
15.477,197.000
15.510,202.000
15.543,200.000
15.576,199.000
15.609,196.000
15.642,195.000
15.675,196.000
15.708,199.000
15.741,192.000
15.774,192.000
15.807,191.000
15.840,184.000
15.873,187.000
15.906,187.000
15.939,192.000
15.972,194.000
16.005,191.000
16.038,192.000
16.071,193.000
16.104,197.000
16.137,196.000
16.170,195.000
16.203,196.000
16.236,192.000
16.269,198.000
16.302,193.000
16.335,193.000
16.368,197.000
16.401,189.000
16.434,191.000
16.467,195.000
16.500,193.000
16.533,194.000
16.566,193.000
16.599,191.000
16.632,190.000
16.665,194.000
16.698,195.000
16.731,197.000
16.764,198.000
16.797,198.000
16.830,196.000
16.863,198.000
16.896,202.000
16.929,198.000
16.962,197.000
16.995,198.000
17.028,198.000
17.061,196.000
17.094,202.000
17.127,198.000
17.160,203.000
17.193,203.000
17.226,203.000
17.259,205.000
17.292,206.000
17.325,207.000
17.358,208.000
17.391,208.000
17.424,208.000
17.457,209.000
17.490,210.000
17.523,201.000
17.556,207.000
17.589,208.000
17.622,210.000
17.655,208.000
